"","ID_LAU2","ID_LAU2_ch","Box2020"
"1","0607","0607","[-75.5,12.25)"
"2","1008","1008","[34.5,70.75)"
"3","0406","0406","[12.25,34.5)"
"4","0107","0107","[34.5,70.75)"
"5","0602","0602","[-75.5,12.25)"
"6","0409","0409","[158.5,1864]"
"7","0804","0804","[12.25,34.5)"
"8","0802","0802","[70.75,158.5)"
"9","0606","0606","[34.5,70.75)"
"10","0708","0708","[12.25,34.5)"
"11","0211","0211","[-75.5,12.25)"
"12","0601","0601","[-75.5,12.25)"
"13","0404","0404","[12.25,34.5)"
"14","0705","0705","[-75.5,12.25)"
"15","0704","0704","[70.75,158.5)"
"16","0609","0609","[12.25,34.5)"
"17","0603","0603","[12.25,34.5)"
"18","0105","0105","[34.5,70.75)"
"19","0707","0707","[-75.5,12.25)"
"20","0204","0204","[-75.5,12.25)"
"21","1101","1101","[12.25,34.5)"
"22","0308","0308","[34.5,70.75)"
"23","1105","1105","[70.75,158.5)"
"24","0305","0305","[34.5,70.75)"
"25","0805","0805","[-75.5,12.25)"
"26","0808","0808","[34.5,70.75)"
"27","1202","1202","[-75.5,12.25)"
"28","0306","0306","[-75.5,12.25)"
"29","0210","0210","[12.25,34.5)"
"30","0806","0806","[34.5,70.75)"
"31","0710","0710","[-75.5,12.25)"
"32","0504","0504","[34.5,70.75)"
"33","1205","1205","[70.75,158.5)"
"34","0106","0106","[12.25,34.5)"
"35","0709","0709","[34.5,70.75)"
"36","0702","0702","[12.25,34.5)"
"37","0104","0104","[70.75,158.5)"
"38","0801","0801","[34.5,70.75)"
"39","0605","0605","[70.75,158.5)"
"40","1107","1107","[34.5,70.75)"
"41","0608","0608","[-75.5,12.25)"
"42","0503","0503","[34.5,70.75)"
"43","1203","1203","[34.5,70.75)"
"44","0208","0208","[-75.5,12.25)"
"45","0212","0212","[-75.5,12.25)"
"46","1208","1208","[12.25,34.5)"
"47","0403","0403","[70.75,158.5)"
"48","1204","1204","[70.75,158.5)"
"49","0706","0706","[12.25,34.5)"
"50","0101","0101","[-75.5,12.25)"
"51","0405","0405","[-75.5,12.25)"
"52","1005","1005","[34.5,70.75)"
"53","0407","0407","[34.5,70.75)"
"54","0604","0604","[-75.5,12.25)"
"55","0205","0205","[-75.5,12.25)"
"56","0206","0206","[70.75,158.5)"
"57","1206","1206","[12.25,34.5)"
"58","0303","0303","[12.25,34.5)"
"59","0302","0302","[12.25,34.5)"
"60","0901","0901","[-75.5,12.25)"
"61","0502","0502","[34.5,70.75)"
"62","0213","0213","[158.5,1864]"
"63","0311","0311","[34.5,70.75)"
"64","1001","1001","[12.25,34.5)"
"65","0401","0401","[34.5,70.75)"
"66","0307","0307","[-75.5,12.25)"
"67","0214","0214","[-75.5,12.25)"
"68","0207","0207","[-75.5,12.25)"
"69","0501","0501","[70.75,158.5)"
"70","1104","1104","[34.5,70.75)"
"71","0103","0103","[34.5,70.75)"
"72","0110","0110","[70.75,158.5)"
"73","1201","1201","[12.25,34.5)"
"74","1002","1002","[12.25,34.5)"
"75","1108","1108","[70.75,158.5)"
"76","0610","0610","[12.25,34.5)"
"77","0402","0402","[12.25,34.5)"
"78","0301","0301","[34.5,70.75)"
"79","1103","1103","[-75.5,12.25)"
"80","1106","1106","[34.5,70.75)"
"81","0304","0304","[158.5,1864]"
"82","0701","0701","[34.5,70.75)"
"83","1004","1004","[12.25,34.5)"
"84","0309","0309","[158.5,1864]"
"85","1102","1102","[12.25,34.5)"
"86","0202","0202","[158.5,1864]"
"87","0310","0310","[-75.5,12.25)"
"88","0201","0201","[70.75,158.5)"
"89","0903","0903","[34.5,70.75)"
"90","0703","0703","[70.75,158.5)"
"91","0410","0410","[12.25,34.5)"
"92","0408","0408","[70.75,158.5)"
"93","1207","1207","[12.25,34.5)"
"94","0203","0203","[158.5,1864]"
"95","1003","1003","[70.75,158.5)"
"96","0505","0505","[70.75,158.5)"
"97","0108","0108","[158.5,1864]"
"98","0902","0902","[-75.5,12.25)"
"99","0102","0102","[12.25,34.5)"
"100","0807","0807","[158.5,1864]"
"101","0209","0209","[158.5,1864]"
"102","1006","1006","[-75.5,12.25)"
