"","x"
"1","[96.47333,100.4687)"
"2","[96.47333,100.4687)"
"3","[92.53,96.47333)"
"4","[92.53,96.47333)"
"5","[84.09767,92.53)"
"6","[100.4687,104.932)"
"7","[84.09767,92.53)"
"8","[100.4687,104.932)"
"9","[100.4687,104.932)"
"10","[100.4687,104.932)"
"11","[84.09767,92.53)"
"12","[100.4687,104.932)"
"13","[96.47333,100.4687)"
"14","[100.4687,104.932)"
"15","[104.932,113.4001]"
"16","[104.932,113.4001]"
"17","[104.932,113.4001]"
"18","[100.4687,104.932)"
"19","[84.09767,92.53)"
"20","[104.932,113.4001]"
"21","[100.4687,104.932)"
"22","[100.4687,104.932)"
"23","[92.53,96.47333)"
"24","[104.932,113.4001]"
"25","[104.932,113.4001]"
"26","[100.4687,104.932)"
"27","[100.4687,104.932)"
"28","[92.53,96.47333)"
"29","[92.53,96.47333)"
"30","[104.932,113.4001]"
"31","[92.53,96.47333)"
"32","[96.47333,100.4687)"
"33","[100.4687,104.932)"
"34","[100.4687,104.932)"
"35","[100.4687,104.932)"
"36","[92.53,96.47333)"
"37","[96.47333,100.4687)"
"38","[104.932,113.4001]"
"39","[84.09767,92.53)"
"40","[100.4687,104.932)"
"41","[96.47333,100.4687)"
"42","[100.4687,104.932)"
"43","[96.47333,100.4687)"
"44","[96.47333,100.4687)"
"45","[84.09767,92.53)"
"46","[96.47333,100.4687)"
"47","[84.09767,92.53)"
"48","[100.4687,104.932)"
"49","[100.4687,104.932)"
"50","[96.47333,100.4687)"
"51","[84.09767,92.53)"
"52","[100.4687,104.932)"
"53","[100.4687,104.932)"
"54","[96.47333,100.4687)"
"55","[96.47333,100.4687)"
"56","[96.47333,100.4687)"
"57","[96.47333,100.4687)"
"58","[92.53,96.47333)"
"59","[100.4687,104.932)"
"60","[96.47333,100.4687)"
"61","[96.47333,100.4687)"
"62","[100.4687,104.932)"
"63","[84.09767,92.53)"
"64","[100.4687,104.932)"
"65","[100.4687,104.932)"
"66","[96.47333,100.4687)"
"67","[104.932,113.4001]"
"68","[84.09767,92.53)"
"69","[104.932,113.4001]"
"70","[100.4687,104.932)"
"71","[100.4687,104.932)"
"72","[100.4687,104.932)"
"73","[84.09767,92.53)"
"74","[92.53,96.47333)"
"75","[104.932,113.4001]"
"76","[96.47333,100.4687)"
"77","[100.4687,104.932)"
"78","[96.47333,100.4687)"
"79","[96.47333,100.4687)"
"80","[96.47333,100.4687)"
"81","[92.53,96.47333)"
"82","[104.932,113.4001]"
"83","[92.53,96.47333)"
"84","[100.4687,104.932)"
"85","[100.4687,104.932)"
"86","[96.47333,100.4687)"
"87","[100.4687,104.932)"
"88","[96.47333,100.4687)"
"89","[100.4687,104.932)"
"90","[92.53,96.47333)"
"91","[100.4687,104.932)"
"92","[100.4687,104.932)"
"93","[84.09767,92.53)"
"94","[96.47333,100.4687)"
"95","[100.4687,104.932)"
"96","[100.4687,104.932)"
"97","[96.47333,100.4687)"
"98","[84.09767,92.53)"
"99","[96.47333,100.4687)"
"100","[96.47333,100.4687)"
"101","[100.4687,104.932)"
"102","[96.47333,100.4687)"
"103","[104.932,113.4001]"
"104","[100.4687,104.932)"
"105","[92.53,96.47333)"
"106","[104.932,113.4001]"
"107","[100.4687,104.932)"
"108","[104.932,113.4001]"
"109","[96.47333,100.4687)"
"110","[96.47333,100.4687)"
"111","[96.47333,100.4687)"
"112","[100.4687,104.932)"
"113","[100.4687,104.932)"
"114","[100.4687,104.932)"
"115","[100.4687,104.932)"
"116","[96.47333,100.4687)"
"117","[104.932,113.4001]"
"118","[100.4687,104.932)"
"119","[100.4687,104.932)"
"120","[92.53,96.47333)"
"121","[92.53,96.47333)"
"122","[92.53,96.47333)"
"123","[96.47333,100.4687)"
"124","[96.47333,100.4687)"
"125","[96.47333,100.4687)"
"126","[104.932,113.4001]"
"127","[84.09767,92.53)"
"128","[100.4687,104.932)"
"129","[96.47333,100.4687)"
"130","[100.4687,104.932)"
"131","[104.932,113.4001]"
"132","[96.47333,100.4687)"
"133","[100.4687,104.932)"
"134","[96.47333,100.4687)"
"135","[100.4687,104.932)"
"136","[92.53,96.47333)"
