"","cat","COMMUNE","CODES_116","IDCANT_116","CANT_116","IDDIS","DISTRICT_1","IDPAYS","PAYS","UnemRate_08","RoadLuxKm","PopDensity_2011","PC_Foreign"
"0",1,"Bascharage",110101,1,"Capellen",1,"Luxembourg",1,"Luxembourg",4.15,26.7,391.59,27.8719
"1",2,"Tandel",120804,8,"Vianden",2,"Diekirch",1,"Luxembourg",7.08,36.2,164.05,43.1677
"2",3,"Beaufort",131001,10,"Echternach",3,"Grevenmacher",1,"Luxembourg",2.52,27.4,46.25,23.5622
"3",4,"Bech",131002,10,"Echternach",3,"Grevenmacher",1,"Luxembourg",3.96,42.8,80.71,27.2133
"4",5,"Beckerich",120701,7,"Redange",2,"Diekirch",1,"Luxembourg",7.47,36.2,77.34,40.4481
"5",6,"Berdorf",131003,10,"Echternach",3,"Grevenmacher",1,"Luxembourg",4.15,7.6,357.27,47.8513
"6",7,"Berg",110401,4,"Mersch",1,"Luxembourg",1,"Luxembourg",4.86,10.2,455.56,36.905
"7",8,"Bertrange",110302,3,"Luxembourg",1,"Luxembourg",1,"Luxembourg",5.88,41,107.1,41.5428
"8",9,"Preizerdaul",120704,7,"Redange",2,"Diekirch",1,"Luxembourg",2.66,25.8,124.08,31.7367
"9",10,"Bettembourg",110201,2,"Esch",1,"Luxembourg",1,"Luxembourg",4.48,24.6,134.17,34.1954
"10",11,"Bettendorf",120602,6,"Diekirch",2,"Diekirch",1,"Luxembourg",4.59,28.5,71.62,26.2553
"11",12,"Bissen",110402,4,"Mersch",1,"Luxembourg",1,"Luxembourg",2.65,27.5,107.95,21.6004
"12",13,"Biwer",131102,11,"Grevenmacher",3,"Grevenmacher",1,"Luxembourg",5.37,67.2,30.19,23.4021
"13",14,"Boevange/Attert",110403,4,"Mersch",1,"Luxembourg",1,"Luxembourg",3.6,41.4,36.25,25.2246
"14",15,"Boulaide",120901,9,"Wiltz",2,"Diekirch",1,"Luxembourg",3.06,18.7,90.93,25.4455
"15",16,"Bourscheid",120603,6,"Diekirch",2,"Diekirch",1,"Luxembourg",2.07,32.1,76.29,20.098
"16",17,"Bous",131201,12,"Remich",3,"Grevenmacher",1,"Luxembourg",2.8,31.4,149.76,23.2077
"17",18,"Burmerange",131202,12,"Remich",3,"Grevenmacher",1,"Luxembourg",7.07,63,79.68,33.5303
