degurban_label,degurban2021id,population,born_in_lux,born_abroad,unknown_country,contiguous_countries,born_in_france,others_eu27_countries,born_in_portugal,non_eu27_countries
very low density rural,11,9633,6598,3035,11,1119,322,650,589,666
low density rural,12,88604,58968,29636,59,10143,3121,4595,6914,7925
rural cluster,13,101493,60598,40895,103,12144,4823,6314,11425,10909
suburban or peri-urban,21,99435,56137,43298,36,10591,5898,8285,11024,13362
semi-dense urban cluster,22,52241,28969,23272,18,6082,2281,4290,5395,7487
dense urban cluster,23,134426,67172,67254,56,10129,6429,7019,26388,23662
urban center,30,157407,47471,109936,101,32604,21907,30674,11143,35414
unallocated,unallocated,702,326,376,14,88,40,81,70,123
,,,,,,,,,,
"STATEC RP2021: Number of people born in Luxembourg or abroad by degree of urbanisation according to country groups (contiguous, eu27, non-eu27) and country of birth (Luxembourg, France, Portugal)",,,,,,,,,,
Total population with unknown countries of birth (398),,,,,,,,,,
RP results 2021 N°9 : Geographical distribution of immigrants in Luxembourg,,,,,,,,,,
